Pen,Page,Bull_Name,Tattoo,Breed,DOB,Registration_Number,CED,BW,WW,YW,RADG,DMI,YH,SC,Doc,HP,CEM,Milk,MW,DollarEN,MH,CW,Marb,Re,Fat,DollarM,DollarB,DollarC,DollarW,DollarW_Rank,DollarC_Rank,DollarB_Rank,DollarM_Rank,DollarEN_Rank,YW_Rank,ACC_CED,ACC_BW,ACC_WW,ACC_YW,ACC_RADG,ACC_DMI,ACC_YH,ACC_SC,ACC_Doc,ACC_HP,ACC_CEM,ACC_Milk,ACC_MW,ACC_MH,ACC_CW,ACC_Marb,ACC_RE,ACC_Fat
7,16,HERO M017,017M,Angus,2024-09-07,23222770,12.0,2.0,95.0,117.0,0.29,0.75,0.4,0.76,3.0,19.5,9.0,39.0,59.0,-21.67,0.4,25.0,1.38,0.77,0.019,105.59,136.17,282.5,101.41,98.0,40.0,17.0,78.0,47.0,26.0,0.49,0.45,0.46,0.43,0.31,0.42,0.38,0.25,0.42,0.29,0.5,0.25,0.31,0.46,0.29,0.41,0.18,0.25
7,16,BRONCO M058,058M,Angus,2024-06-04,23379696,6.0,2.6,100.0,179.0,0.34,0.32,-0.0,-0.48,12.0,10.2,18.0,21.0,117.0,-42.09,0.6,50.0,0.81,1.18,0.041,68.77,167.54,278.67,82.96,68.0,39.0,37.0,43.0,24.5,92.0,0.43,0.5,0.28,0.32,0.5,0.49,0.45,0.45,0.33,0.25,0.38,0.47,0.36,0.32,0.45,0.5,0.5,0.5
7,16,BRUTUS M032,032M,Angus,2024-04-23,21046791,11.0,-0.0,85.0,172.0,0.19,3.02,-0.2,2.02,1.0,22.6,8.0,23.0,41.0,-2.54,1.0,60.0,0.48,0.96,0.018,116.97,145.97,277.53,69.72,36.0,38.0,25.0,86.0,77.0,86.0,0.36,0.19,0.5,0.24,0.5,0.42,0.43,0.37,0.44,0.3,0.37,0.37,0.5,0.48,0.43,0.33,0.33,0.44
7,16,RANGE M087,087M,Angus,2024-10-07,22725648,13.0,0.5,57.0,85.0,0.2,0.49,0.0,0.56,15.0,10.0,10.0,26.0,7.0,10.94,0.5,26.0,1.35,0.12,-0.008,85.23,144.68,275.83,52.59,11.0,37.0,23.0,64.0,93.0,3.0,0.5,0.42,0.5,0.41,0.5,0.23,0.5,0.5,0.3,0.33,0.5,0.49,0.45,0.42,0.4,0.35,0.42,0.38
7,17,CALIBER M059,059M,Angus,2024-07-08,21244758,11.0,-0.2,59.0,116.0,0.33,0.94,0.0,2.01,17.0,8.3,12.0,11.0,86.0,-21.98,-0.0,29.0,1.57,0.77,0.034,42.3,178.87,274.82,46.56,4.0,36.0,50.0,16.0,46.0,22.5,0.46,0.46,0.15,0.47,0.32,0.18,0.5,0.39,0.29,0.34,0.5,0.4,0.5,0.47,0.36,0.5,0.38,0.36
7,17,EVEREST M075,075M,Angus,2024-05-31,22997050,4.0,-1.4,99.0,139.0,0.23,2.07,0.8,1.29,18.0,7.6,14.0,21.0,84.0,-24.17,0.6,43.0,1.12,1.59,-0.009,73.08,153.19,274.64,85.42,77.0,35.0,29.0,50.0,41.0,48.0,0.33,0.5,0.43,0.36,0.4,0.35,0.32,0.5,0.42,0.23,0.5,0.24,0.34,0.33,0.5,0.5,0.5,0.5
7,17,ULTRA M051,051M,Angus,2024-08-23,24475971,17.0,1.7,75.0,190.0,0.36,1.67,1.1,1.25,46.0,3.6,15.0,14.0,65.0,-9.87,0.7,41.0,0.45,1.28,-0.05,56.79,160.93,273.82,56.9,20.0,34.0,35.0,30.0,69.0,97.0,0.33,0.41,0.36,0.32,0.3,0.4,0.24,0.21,0.27,0.44,0.17,0.21,0.47,0.39,0.32,0.32,0.28,0.3
7,17,REBEL M023,023M,Angus,2024-08-20,24204608,23.0,1.3,87.0,102.0,0.29,0.56,0.9,1.89,10.0,14.3,7.0,35.0,-15.0,19.64,0.3,33.0,0.53,0.85,0.054,126.22,104.38,272.34,84.05,71.0,33.0,6.0,95.0,97.0,11.5,0.15,0.32,0.49,0.2,0.27,0.48,0.5,0.45,0.23,0.18,0.4,0.41,0.23,0.33,0.45,0.19,0.24,0.3
7,18,KAISER M067,067M,Angus,2024-07-18,22043597,23.0,1.2,47.0,148.0,0.22,1.3,0.8,-0.1,23.0,12.5,5.0,17.0,49.0,-4.02,0.3,11.0,1.36,0.97,-0.061,55.48,175.51,269.09,47.26,5.0,32.0,47.0,28.0,76.0,59.5,0.5,0.28,0.19,0.3,0.15,0.46,0.29,0.21,0.32,0.36,0.31,0.19,0.29,0.3,0.47,0.41,0.35,0.3
7,18,KODIAK M081,081M,Angus,2024-07-11,21507020,18.0,-3.3,95.0,110.0,0.21,2.28,-0.6,1.24,17.0,13.2,14.0,21.0,96.0,-32.69,0.5,29.0,1.49,0.79,0.024,80.02,125.14,268.74,85.11,76.0,31.0,13.0,56.0,34.0,17.5,0.24,0.42,0.44,0.39,0.32,0.15,0.29,0.43,0.45,0.41,0.5,0.43,0.29,0.31,0.46,0.3,0.47,0.44
8,18,SERGEANT M026,026M,Angus,2024-09-28,23622075,20.0,-0.8,65.0,137.0,0.3,2.63,0.0,0.77,29.0,21.2,10.0,39.0,96.0,-40.8,0.9,48.0,0.7,1.36,0.022,69.94,158.83,267.92,81.28,63.0,30.0,33.0,47.0,27.0,45.0,0.28,0.37,0.3,0.23,0.18,0.41,0.3,0.38,0.35,0.28,0.41,0.27,0.5,0.41,0.31,0.19,0.28,0.25
8,18,YUKON M055,055M,Angus,2024-05-21,20021068,16.0,0.3,55.0,148.0,0.3,0.92,0.1,2.39,14.0,13.1,9.0,42.0,-37.0,24.11,0.0,11.0,0.93,0.79,0.034,111.3,138.0,267.58,73.64,46.0,29.0,20.0,81.0,98.0,59.5,0.32,0.46,0.35,0.5,0.37,0.3,0.5,0.5,0.34,0.37,0.43,0.31,0.33,0.28,0.5,0.27,0.48,0.4
8,19,BARON M011,011M,Angus,2024-08-13,21635680,14.0,0.3,67.0,128.0,0.32,2.27,0.3,-0.73,10.0,3.2,15.0,25.0,128.0,-48.44,0.1,37.0,1.7,1.32,-0.018,17.81,181.44,266.16,68.51,34.0,28.0,53.0,8.0,14.0,36.0,0.39,0.5,0.43,0.36,0.28,0.45,0.5,0.5,0.39,0.5,0.48,0.5,0.5,0.5,0.15,0.42,0.17,0.47
8,19,VALLEY M091,091M,Angus,2024-06-12,22876016,6.0,1.8,92.0,85.0,0.35,0.82,0.5,0.93,27.0,15.5,13.0,24.0,151.0,-61.81,-0.0,21.0,1.75,0.55,-0.003,49.6,137.68,263.37,74.44,48.0,27.0,19.0,22.0,3.0,3.0,0.39,0.41,0.5,0.42,0.29,0.36,0.4,0.5,0.5,0.46,0.45,0.45,0.32,0.37,0.3,0.38,0.42,0.38
8,19,KNOX M041,041M,Angus,2024-09-10,20998216,18.0,2.4,42.0,120.0,0.26,0.1,0.8,-0.46,20.0,18.0,14.0,30.0,151.0,-62.45,-0.2,49.0,0.56,1.58,0.023,15.53,194.85,263.0,49.14,6.0,26.0,60.0,5.0,2.0,28.5,0.2,0.28,0.3,0.27,0.47,0.31,0.15,0.43,0.37,0.38,0.45,0.4,0.34,0.38,0.2,0.25,0.45,0.29
8,19,PATRIOT M021,021M,Angus,2024-05-16,23628970,18.0,-1.0,69.0,157.0,0.35,1.8,1.2,0.36,27.0,16.2,17.0,14.0,116.0,-39.89,0.5,71.0,0.36,0.31,-0.014,54.12,171.25,259.52,58.88,23.0,25.0,41.0,26.0,28.0,73.0,0.36,0.5,0.5,0.38,0.46,0.47,0.5,0.5,0.42,0.44,0.5,0.36,0.5,0.35,0.27,0.36,0.26,0.5
8,20,SIERRA M088,088M,Angus,2024-06-06,21405840,10.0,-2.0,65.0,136.0,0.23,0.77,0.2,1.77,3.0,13.5,19.0,33.0,138.0,-58.93,-0.2,55.0,1.31,0.3,0.017,40.35,201.47,258.83,72.7,43.0,24.0,67.0,14.0,8.0,43.5,0.22,0.38,0.19,0.39,0.39,0.32,0.48,0.41,0.5,0.5,0.48,0.45,0.4,0.16,0.27,0.41,0.5,0.5
8,20,TROOPER M024,024M,Angus,2024-09-29,20563572,15.0,2.8,60.0,89.0,0.26,0.89,0.7,-0.05,41.0,9.7,6.0,23.0,54.0,-10.06,-0.2,24.0,1.0,1.07,0.031,62.41,140.18,258.51,56.8,19.0,23.0,21.0,37.0,68.0,7.0,0.5,0.4,0.25,0.5,0.44,0.24,0.5,0.48,0.42,0.43,0.5,0.24,0.39,0.46,0.37,0.47,0.3,0.38
8,20,PRAIRIE M086,086M,Angus,2024-07-08,23853167,1.0,-0.2,59.0,145.0,0.25,0.3,0.5,0.31,5.0,11.1,10.0,11.0,135.0,-46.29,1.0,45.0,1.36,0.25,0.024,17.76,200.19,258.19,50.02,8.0,22.0,66.0,7.0,18.0,53.5,0.45,0.32,0.34,0.45,0.5,0.35,0.5,0.4,0.36,0.32,0.5,0.36,0.35,0.37,0.4,0.47,0.45,0.47
8,20,VICTOR M010,010M,Angus,2024-05-23,20594263,7.0,-0.1,70.0,191.0,0.29,1.58,0.1,0.5,21.0,17.1,15.0,27.0,49.0,-11.56,0.6,28.0,0.6,0.93,-0.003,92.7,141.1,256.75,79.55,56.0,21.0,22.0,70.0,66.0,98.0,0.5,0.38,0.5,0.41,0.32,0.3,0.49,0.45,0.42,0.43,0.27,0.41,0.25,0.3,0.45,0.41,0.5,0.5
9,21,WARRIOR M053,053M,Angus,2024-10-11,21536529,4.0,3.0,74.0,165.0,0.21,0.84,0.0,1.34,21.0,11.2,11.0,19.0,128.0,-47.5,0.4,72.0,0.36,0.95,0.01,38.6,185.01,255.51,66.18,29.0,20.0,55.0,12.0,16.0,79.0,0.45,0.5,0.38,0.38,0.28,0.35,0.5,0.45,0.39,0.29,0.46,0.28,0.38,0.32,0.38,0.47,0.44,0.46
9,21,MAGNUM M043,043M,Angus,2024-08-25,23378769,17.0,-0.3,62.0,105.0,0.3,0.99,0.6,0.57,8.0,11.6,10.0,32.0,151.0,-60.39,0.4,57.0,0.79,0.99,0.005,13.13,172.49,249.12,66.81,31.0,19.0,42.0,3.0,6.0,13.0,0.5,0.45,0.29,0.5,0.45,0.28,0.39,0.5,0.46,0.42,0.33,0.3,0.39,0.33,0.33,0.46,0.31,0.5
9,21,OLYMPUS M045,045M,Angus,2024-05-28,21242793,7.0,3.5,42.0,120.0,0.15,0.5,-0.4,1.29,26.0,20.2,9.0,36.0,86.0,-30.4,0.7,25.0,0.68,1.3,0.012,55.1,151.24,242.74,51.19,10.0,18.0,27.0,27.0,35.0,28.5,0.42,0.27,0.28,0.15,0.28,0.15,0.17,0.27,0.17,0.27,0.31,0.15,0.19,0.15,0.25,0.15,0.26,0.15
9,21,GENERAL M014,014M,Angus,2024-08-05,24410366,15.0,0.1,60.0,155.0,0.33,2.14,-0.2,2.11,-2.0,7.4,22.0,25.0,74.0,-21.15,0.3,62.0,0.13,1.03,-0.05,52.39,159.51,242.0,56.26,17.0,17.0,34.0,23.0,49.0,68.0,0.27,0.31,0.49,0.4,0.24,0.2,0.29,0.28,0.43,0.2,0.36,0.22,0.16,0.29,0.5,0.33,0.39,0.38
9,22,XANDER M054,054M,Angus,2024-05-18,23280873,20.0,4.6,99.0,156.0,0.27,1.19,0.7,2.88,3.0,15.1,22.0,32.0,34.0,-0.98,1.1,11.0,0.72,0.63,0.051,120.77,81.64,239.67,85.5,78.0,16.0,3.0,90.0,81.0,70.5,0.29,0.32,0.23,0.19,0.15,0.45,0.2,0.19,0.19,0.16,0.15,0.34,0.15,0.15,0.15,0.15,0.33,0.15
9,22,RANGER M007,007M,Angus,2024-05-22,20793936,13.0,2.1,86.0,185.0,0.41,1.53,1.5,1.66,13.0,8.2,22.0,18.0,137.0,-48.22,0.5,45.0,0.62,0.52,-0.053,37.72,145.4,239.29,71.94,39.0,15.0,24.0,11.0,15.0,95.0,0.17,0.41,0.32,0.23,0.2,0.15,0.17,0.42,0.39,0.32,0.37,0.32,0.15,0.44,0.3,0.35,0.23,0.27
9,22,HERCULES M038,038M,Angus,2024-04-26,20894153,9.0,-1.7,42.0,157.0,0.35,1.21,-0.1,1.47,31.0,15.4,9.0,25.0,136.0,-49.89,0.9,30.0,1.04,0.2,-0.061,17.48,173.72,238.64,49.21,7.0,14.0,44.0,6.0,12.0,73.0,0.35,0.39,0.23,0.46,0.44,0.28,0.24,0.36,0.27,0.38,0.39,0.17,0.48,0.26,0.2,0.37,0.15,0.23
9,22,COMMODORE M028,028M,Angus,2024-04-26,23213433,18.0,2.0,75.0,128.0,0.33,1.71,0.1,0.86,13.0,15.1,9.0,36.0,13.0,0.28,1.1,51.0,-0.37,1.02,0.04,105.51,95.83,236.76,84.73,74.0,13.0,5.0,77.0,84.0,36.0,0.41,0.44,0.45,0.41,0.3,0.5,0.34,0.4,0.42,0.37,0.31,0.48,0.5,0.5,0.29,0.41,0.5,0.39
9,23,ADMIRAL M013,013M,Angus,2024-05-04,20182576,11.0,-4.4,59.0,113.0,0.21,1.48,0.7,1.57,10.0,17.8,8.0,27.0,52.0,-13.86,-0.3,61.0,-0.11,0.78,-0.002,80.37,123.87,236.4,72.23,41.0,12.0,11.0,57.0,61.0,19.0,0.5,0.31,0.44,0.44,0.5,0.37,0.24,0.36,0.44,0.38,0.5,0.39,0.29,0.25,0.5,0.44,0.5,0.43
9,23,JAGUAR M066,066M,Angus,2024-08-23,21222920,8.0,4.7,77.0,108.0,0.29,2.28,1.0,0.7,46.0,15.7,20.0,11.0,79.0,-15.99,0.8,36.0,0.17,1.13,0.056,84.38,79.24,234.16,50.47,9.0,11.0,2.0,62.0,57.0,15.0,0.21,0.25,0.18,0.19,0.15,0.25,0.19,0.39,0.19,0.23,0.39,0.34,0.22,0.19,0.2,0.15,0.15,0.42
10,23,IMPACT M065,065M,Angus,2024-04-27,22210825,18.0,0.5,72.0,110.0,0.39,1.9,-0.5,1.2,28.0,14.6,17.0,35.0,141.0,-59.67,-0.5,41.0,0.75,1.04,0.0,41.83,134.78,223.77,78.96,55.0,10.0,16.0,15.0,7.0,17.5,0.5,0.32,0.37,0.44,0.39,0.48,0.45,0.41,0.5,0.41,0.5,0.25,0.37,0.45,0.5,0.45,0.34,0.26
10,23,GLADIATOR M063,063M,Angus,2024-09-30,20329171,17.0,-3.9,56.0,143.0,0.43,1.47,1.5,0.83,12.0,13.9,12.0,45.0,101.0,-44.64,1.5,37.0,0.12,1.11,-0.052,42.45,129.03,220.65,83.65,69.0,9.0,15.0,18.0,22.0,50.0,0.17,0.15,0.29,0.19,0.15,0.34,0.24,0.18,0.34,0.15,0.3,0.39,0.21,0.19,0.31,0.32,0.28,0.15
10,24,LEGEND M016,016M,Angus,2024-09-18,20155651,17.0,-2.0,67.0,117.0,0.36,1.51,0.5,1.18,24.0,11.2,2.0,31.0,54.0,-8.81,0.1,24.0,0.69,0.56,-0.061,69.21,127.67,219.14,73.51,45.0,8.0,14.0,44.0,72.0,26.0,0.3,0.5,0.5,0.39,0.28,0.31,0.42,0.5,0.49,0.4,0.35,0.42,0.5,0.42,0.39,0.38,0.5,0.35
10,24,ENFORCER M035,035M,Angus,2024-08-01,21080622,11.0,0.9,97.0,124.0,0.24,0.56,-0.3,1.1,-3.0,16.3,2.0,27.0,70.0,-20.48,0.5,42.0,0.21,0.95,0.006,90.4,104.42,216.93,86.9,80.0,7.0,7.0,65.0,50.0,30.5,0.45,0.17,0.5,0.5,0.3,0.41,0.5,0.33,0.47,0.5,0.46,0.37,0.48,0.5,0.48,0.5,0.29,0.32
10,24,ACE M001,001M,Angus,2024-04-27,21499614,13.0,2.6,73.0,127.0,0.17,1.12,1.5,2.88,4.0,5.0,7.0,16.0,133.0,-47.13,1.3,89.0,-0.37,1.59,0.007,22.27,152.0,216.51,56.68,18.0,6.0,28.0,9.0,17.0,34.0,0.33,0.36,0.23,0.15,0.19,0.15,0.16,0.2,0.2,0.26,0.35,0.29,0.15,0.25,0.15,0.15,0.15,0.2
10,24,FOREST M098,098M,Angus,2024-05-25,23793209,7.0,-0.2,74.0,169.0,0.17,0.72,0.3,0.67,8.0,6.9,2.0,32.0,66.0,-19.96,-0.2,27.0,0.95,0.4,0.03,62.49,147.21,213.22,77.54,52.0,5.0,26.0,38.0,51.0,84.0,0.35,0.28,0.27,0.38,0.36,0.38,0.28,0.5,0.36,0.38,0.39,0.44,0.33,0.15,0.18,0.42,0.41,0.37
10,25,OZARK M085,085M,Angus,2024-05-12,24034280,12.0,0.8,99.0,100.0,0.3,0.92,0.1,1.7,9.0,11.3,16.0,11.0,151.0,-51.62,0.1,30.0,0.99,0.72,0.009,53.3,116.72,210.38,74.98,50.0,4.0,8.0,25.0,11.0,10.0,0.4,0.4,0.5,0.25,0.43,0.5,0.42,0.39,0.17,0.19,0.42,0.36,0.5,0.41,0.45,0.5,0.47,0.49
10,25,DOMINATOR M060,060M,Angus,2024-10-05,22892607,13.0,-3.6,52.0,116.0,0.25,1.65,1.5,2.07,33.0,23.9,12.0,27.0,34.0,-0.58,0.5,17.0,-0.17,1.3,0.002,93.81,79.18,209.98,60.93,24.0,3.0,1.0,71.0,83.0,22.5,0.45,0.5,0.47,0.37,0.5,0.35,0.43,0.37,0.36,0.5,0.49,0.41,0.44,0.16,0.34,0.31,0.28,0.39
10,25,FURY M062,062M,Angus,2024-06-29,21038995,10.0,1.2,112.0,177.0,0.26,2.47,0.2,1.01,16.0,3.2,9.0,26.0,151.0,-61.51,1.5,63.0,0.05,1.34,-0.042,40.14,124.31,194.36,99.25,97.0,2.0,12.0,13.0,5.0,90.0,0.5,0.49,0.42,0.5,0.5,0.5,0.24,0.33,0.39,0.5,0.3,0.5,0.5,0.42,0.35,0.42,0.15,0.5
10,25,COMMANDER M015,015M,Angus,2024-05-08,24850601,17.0,1.9,71.0,85.0,0.23,2.67,0.3,2.1,12.0,3.2,18.0,39.0,100.0,-42.09,0.5,28.0,0.73,0.12,-0.048,34.12,91.7,173.32,67.29,32.0,1.0,4.0,10.0,24.5,3.0,0.44,0.36,0.35,0.24,0.33,0.33,0.26,0.43,0.5,0.44,0.36,0.41,0.29,0.21,0.39,0.27,0.29,0.36
